,Predicted_Type
1,WinNF
2,WinF
3,WinF
4,WinF
5,WinF
6,WinNF
7,WinF
8,WinF
9,WinNF
10,WinNF
11,WinNF
12,WinF
13,WinNF
14,WinNF
15,WinNF
16,WinF
17,WinF
18,WinNF
19,WinNF
20,WinNF
21,WinNF
22,WinNF
23,WinF
24,WinF
25,WinF
26,WinF
27,WinF
28,WinF
29,WinNF
30,WinF
31,WinNF
32,WinF
33,WinNF
34,WinNF
35,WinF
36,WinF
37,Veh
38,WinF
39,WinNF
40,WinNF
41,WinF
42,WinF
43,WinF
44,WinNF
45,WinNF
46,WinNF
47,WinNF
48,WinNF
49,WinNF
50,WinNF
51,WinF
52,WinNF
53,WinF
54,WinF
55,WinNF
56,WinNF
57,WinNF
58,WinF
59,WinF
60,WinF
61,WinNF
62,WinNF
63,WinNF
64,WinNF
65,WinNF
66,WinNF
67,WinF
68,WinF
69,WinF
70,WinNF
71,WinF
72,WinF
73,WinNF
74,WinF
75,WinNF
76,WinNF
77,WinF
78,WinNF
79,WinF
80,WinF
81,Head
82,WinNF
83,WinF
84,WinNF
85,Tabl
86,WinF
87,WinNF
88,WinNF
89,WinNF
90,WinNF
91,WinF
92,WinNF
93,WinNF
94,WinNF
95,WinNF
96,WinF
97,WinF
98,WinNF
99,WinNF
100,WinNF
101,WinNF
102,WinNF
103,WinNF
104,WinNF
105,WinNF
106,Con
107,Con
108,WinF
109,Head
110,Tabl
111,WinNF
112,WinNF
113,WinF
114,WinF
115,WinF
116,WinF
117,WinF
118,WinF
119,WinNF
120,WinF
121,WinF
122,WinNF
123,WinF
124,Head
125,WinNF
126,WinNF
127,WinF
128,WinF
129,Con
130,Con
131,Head
132,Head
133,WinF
134,WinF
135,WinF
136,WinF
137,WinF
138,WinNF
139,WinNF
140,WinNF
141,WinF
142,WinF
143,WinNF
144,Head
145,WinNF
146,WinNF
147,WinF
148,WinF
149,WinF
150,WinNF
151,WinNF
152,WinNF
153,WinF
154,WinF
155,WinF
156,WinF
157,WinF
158,WinNF
159,WinF
160,WinF
161,WinNF
162,WinF
163,WinF
164,Head
165,WinNF
166,WinF
167,WinNF
168,Head
169,Head
170,Head
171,Head
172,WinNF
173,WinNF
174,Head
175,Con
176,Head
177,WinNF
178,WinF
179,WinF
180,WinF
181,Tabl
182,WinF
183,Head
184,Head
185,WinF
186,WinNF
187,Head
188,WinNF
189,WinNF
190,Head
191,WinNF
192,WinNF
193,WinNF
194,Head
195,Head
196,WinNF
197,WinNF
198,WinNF
199,WinNF
200,WinNF
201,WinNF
202,Con
203,WinNF
204,Head
205,WinNF
206,Head
207,Head
208,Head
209,WinNF
210,WinNF
211,Head
212,Head
213,Head
214,WinNF
