,Predicted_price
4,13364.4834202624
5,18037.3295487615
7,20558.0689316991
9,23287.1932525582
11,16391.8587455891
12,17067.1350466131
13,20386.0384484272
14,21081.9187317474
19,4565.81473614285
20,6542.96571670093
21,7160.34110223117
22,5253.95424290073
23,5678.27069433696
24,9240.61630395245
25,6816.60305761124
26,6968.82603450144
27,6968.82603450144
29,8332.35969693493
30,12381.0293403166
31,5891.41136301306
32,6594.60191609074
33,5982.57261335288
34,7029.50518090953
35,7101.19437863283
36,7796.33679101535
37,6711.06852758397
38,9007.94587740797
39,9245.4163448664
40,9432.02471245282
41,8414.97887242386
42,11038.172372545
43,10930.0223820716
48,31666.0960039006
51,5779.96486811659
52,6236.96309303284
53,6259.36596732138
54,6962.73691391339
55,6809.42968784385
60,9876.88850302755
61,10125.9205079058
62,9876.88850302755
63,10125.9205079058
65,10139.4788007507
66,12373.089737612
68,27478.681974122
69,28008.40663563
70,25996.2441501792
71,29751.972524539
73,34471.329906326
77,5599.17089343827
78,6138.36958367524
79,6407.20407513761
80,8010.69223978682
81,9766.37555020017
82,8368.38373994026
86,8594.37818522874
87,8773.60117953699
88,9974.44769605783
89,8095.69899113368
90,6402.07406249138
91,6469.75183857679
92,6532.01073336486
93,7022.99197591099
94,7352.47084376637
95,6679.86970366917
96,7213.77460766312
97,7170.85094621529
98,7410.71831691655
99,6563.43200421852
100,9535.33810057554
101,9490.41578372666
102,14747.2888668829
103,15189.7176625853
104,14418.5760597437
105,16615.5653315839
106,18764.3189750516
107,18071.1392597869
108,15405.0981482274
109,17241.8269540724
112,15136.5055674903
113,17488.2585712462
116,15651.5297654012
117,17488.2585712462
118,17561.3629884244
119,5776.67934230844
120,8408.92419768491
121,7189.59707279097
122,7234.73933978567
123,8363.05359043886
124,8333.65924676248
126,14177.4858249028
133,12436.4784231466
134,12851.2801548704
135,15625.9754583525
136,13133.5563709059
137,15560.6636757424
138,15982.813849682
139,5320.51914992439
140,6466.47381968866
141,7016.07040045629
142,8223.15194627137
143,8660.41659976959
144,9372.09171286087
145,9316.73051344255
146,12344.7816222479
147,8704.39432564459
148,9612.56156121832
149,9525.53561209709
150,12281.5192343022
151,5545.87211004321
152,6148.35900784073
153,6381.62230757665
154,6600.07734087894
155,7088.03650746507
156,10842.2394253748
157,7212.4178295065
158,7324.98037680645
159,6825.62984354645
160,7199.20886086637
161,7152.57701873687
162,7375.62352860361
163,7509.92420606298
164,8642.09190929302
165,8745.26169929208
166,8880.06933305543
167,8983.2391230545
168,9991.55950642687
169,9973.63720699604
170,10882.0822703754
171,10614.359411648
172,11612.4159721815
173,13429.8312083464
174,9852.48471178238
175,10950.9614683158
176,10463.5573390769
177,10313.4237625735
178,10660.702632816
179,16298.2684596284
180,16585.0684702591
181,16277.2217616625
183,7969.36856696007
184,8560.32040016693
185,8207.89066082584
186,8798.8424940327
187,9081.1187100682
188,10188.0685177793
189,8695.65774532892
191,9352.97029497911
195,16002.1325011946
196,15863.6624519019
197,15997.6087065995
198,15791.9300344412
199,18913.1467256543
200,18729.8709277845
201,17392.5372125339
202,19631.7282155245
203,19096.5859489557
204,21883.2151068831
205,20293.6843394839
