,Predicted_price
1,13400.6674943507
2,18000.2427680798
3,20539.2448510642
4,23327.4184828614
5,16882.7249526491
6,17471.3889016146
7,19914.4320490829
8,20772.989471916
9,4604.98761464077
10,6626.60921972059
11,7123.39658514381
12,5115.23759041857
13,5427.69635997704
14,8731.60461557475
15,6777.72629080452
16,6974.91488709104
17,6974.91488709104
18,9394.93859502591
19,12417.9968294826
20,6499.34611806292
21,6330.50253482619
22,7009.90685843276
23,7078.73084212136
24,7174.63585014301
25,7582.69589422997
26,7104.76931607333
27,8809.58236526706
28,9127.26770433884
29,9027.15940242237
30,8142.19740292447
31,11014.3384260451
32,10891.2354432982
33,31685.4867162115
34,5791.49496911903
35,6617.49525525755
36,6647.46557026433
37,7047.17852861492
38,7054.8561038433
39,10046.1998218641
40,10517.9388306253
41,10046.1998218641
42,10517.9388306253
43,10542.5305653888
44,15318.4684595163
45,28676.4711405241
46,29592.665969056
47,27628.388086494
48,31051.1123572254
49,27433.3054300806
50,5408.02829635887
51,5875.39839968493
52,6235.04217976608
53,7784.17739078468
54,9410.91461021318
55,8044.10174893994
56,8497.62782984356
57,8737.39034989775
58,9840.46443911136
59,8729.4570927384
60,6379.33854642351
61,6551.55202073346
62,6553.16637346297
63,7150.86197180452
64,7012.54031586511
65,6750.97045250764
66,7249.31942403232
67,7348.66605084914
68,7090.46313488272
69,7608.88888437795
70,9813.41472230817
71,9746.86454653517
72,14472.6066279477
73,14944.3993578158
74,14048.0263985322
75,16653.4471047356
76,18883.0922373128
77,18232.8197677765
78,15754.5147279227
79,17070.0671946142
80,16127.4849711611
81,17399.7406596886
82,16084.1881929975
83,17399.7406596886
84,17604.0504344938
85,5325.74060443167
86,7935.87165958537
87,6778.10237069646
88,6291.50196856312
89,7350.52655598541
90,9033.36879085323
91,21472.8020561441
92,14094.9117461685
93,14550.1857960335
94,14901.657081733
95,14927.811765119
96,17603.8137073987
97,18070.1415789987
98,5804.22914836522
99,6503.98587922995
100,7055.24225097257
101,7827.4760654098
102,8420.4759979212
103,9227.42619799578
104,8471.42205763263
105,11805.3416106587
106,8010.49977321953
107,9342.75841601771
108,8702.23491922416
109,11407.099702254
110,5319.51535318168
111,5982.71493363061
112,6251.09647422638
113,6368.16041590685
114,6258.65908560668
115,11258.9067791249
116,6822.45362698388
117,6945.30632348979
118,6361.53457284475
119,7241.45877507671
120,7240.06932336365
121,6875.38435390981
122,7048.59669819105
123,8446.3981225106
124,8590.87111730111
125,8843.21465044476
126,8987.68764523528
127,10911.950786911
128,10887.9745349057
129,11121.153071345
130,11745.1255440994
131,12098.1853405659
132,14860.6075922523
133,9789.77503915868
134,10258.7307486876
135,10331.6224365608
136,10295.2509331942
137,10595.3612086204
138,16359.1409092171
139,16713.7457427433
140,16236.1444235671
141,8178.8316550388
142,8432.69093886305
143,8487.37291106221
144,8741.23219488636
145,9118.85816397177
146,10045.6561607519
147,8981.01912890602
148,8791.15680716579
149,15413.983275053
150,15467.6441371088
151,15437.004410612
152,15400.7543276477
153,18711.2667823889
154,18704.9870144315
155,17239.4986980475
156,19822.2371572637
157,17081.335383692
158,19501.0670345612
159,19253.6120430113
