,Predicted_price
1,13051.3728200519
2,16846.8308810096
3,18313.4614085584
4,20412.1083602787
5,15829.2887208898
6,16322.9301868045
7,20282.8496729989
8,20503.8943957203
9,6250.80506220085
10,5754.98395159686
11,7049.29828962194
12,6172.2366986832
13,6488.41403790299
14,8560.56722915525
15,6990.37015146189
16,7004.34078415586
17,7004.34078415586
18,9523.258957554
19,13567.9965784775
20,8630.51501482777
21,7457.6040477015
22,5840.19496087458
23,7172.21131401188
24,7177.83089714523
25,7897.95602237916
26,7896.79923339002
27,8696.57568376174
28,8748.97655599657
29,9447.68598805569
30,9691.67920197829
31,10774.0097413089
32,9740.37410170848
33,22291.6298118043
34,6498.45206394013
35,6189.64416546855
36,6190.57405527246
37,6869.0267706482
38,6790.58655337969
39,9828.27810907841
40,9860.81235881263
41,9828.27810907841
42,9860.81235881263
43,10135.2118084333
44,17032.479162805
45,26156.5042338363
46,26191.457979325
47,25679.943785596
48,26328.3280415677
49,22177.5724109519
50,5990.84549106361
51,6218.29375022896
52,6242.89242850459
53,8161.5128021054
54,10150.2911832392
55,8767.87931553158
56,8306.31285931562
57,8360.20625515418
58,9880.99678299389
59,9880.11680983169
60,6683.39397398731
61,7702.33541515884
62,6687.99588367013
63,6978.37139428231
64,7392.455009336
65,6696.49176933341
66,6924.87349720829
67,6988.02305896705
68,7396.97907714378
69,7644.26733307441
70,9237.05138528666
71,8943.93108482861
72,14796.4598651227
73,14685.0972158092
74,14101.7244720824
75,17801.0436164467
76,19095.8275306577
77,17924.9706212159
78,15971.004151944
79,17249.5265769796
80,16185.2265752691
81,17348.8605369792
82,16029.177991312
83,17348.8605369792
84,18245.9585860956
85,6085.91232072768
86,8429.55676837902
87,6942.04608031447
88,7295.41835508876
89,7451.23182033447
90,9525.3537071959
91,18705.3166977879
92,14198.5069933362
93,14798.8187419698
94,14735.3794866664
95,14905.1696548626
96,17548.303428965
97,18015.5146317844
98,5721.49809903579
99,6550.15186296349
100,7001.35157462402
101,7715.15241349163
102,8379.54411486825
103,9820.46280488883
104,9607.03457345089
105,11699.8674325288
106,7747.31383505168
107,9594.91830888445
108,8618.23310472627
109,11947.3647400141
110,5951.20052250212
111,6264.55214591149
112,6787.09361679485
113,7519.55074546674
114,8089.06939306157
115,9382.3387796095
116,7417.33844552411
117,7504.91875753511
118,8436.39227857213
119,8391.90994583012
120,7652.55512179163
121,7753.12008064534
122,7787.23860970472
123,8814.47026758666
124,8563.6910454333
125,9898.74080009149
126,9797.5273372965
127,10297.6306804426
128,10289.5942319686
129,10591.9963912959
130,10596.8391231087
131,10946.4752706838
132,11772.2366671904
133,9912.16970040474
134,11303.0899751753
135,10605.6954984054
136,10292.6928482795
137,10653.2055317625
138,16436.2973914197
139,16601.3801144502
140,16294.8981072866
141,8835.13012834339
142,8573.17171951666
143,8970.27089007079
144,8797.77679134137
145,8867.13444225195
146,9416.46619751611
147,9775.01860633363
148,10582.2589446471
149,15474.8088400148
150,15475.9792431057
151,15381.5188226616
152,15368.0452643614
153,18242.0113463115
154,18347.3671348094
155,17446.0443900934
156,19899.6274123901
157,19383.7505611371
158,21867.5010479582
159,18934.4802207923
