,Predicted_Species
1,setosa
2,setosa
3,setosa
4,setosa
5,setosa
6,setosa
7,setosa
8,setosa
9,setosa
10,setosa
11,setosa
12,setosa
13,setosa
14,setosa
15,setosa
16,setosa
17,setosa
18,setosa
19,setosa
20,setosa
21,setosa
22,setosa
23,setosa
24,setosa
25,setosa
26,setosa
27,setosa
28,setosa
29,setosa
30,setosa
31,setosa
32,setosa
33,setosa
34,setosa
35,setosa
36,setosa
37,setosa
38,setosa
39,setosa
40,setosa
41,setosa
42,setosa
43,setosa
44,setosa
45,setosa
46,setosa
47,setosa
48,setosa
49,setosa
50,setosa
51,virginica
52,virginica
53,virginica
54,virginica
55,virginica
56,virginica
57,virginica
58,versicolor
59,virginica
60,versicolor
61,versicolor
62,virginica
63,virginica
64,virginica
65,versicolor
66,virginica
67,virginica
68,versicolor
69,virginica
70,versicolor
71,virginica
72,virginica
73,versicolor
74,virginica
75,virginica
76,virginica
77,virginica
78,virginica
79,virginica
80,versicolor
81,versicolor
82,versicolor
83,virginica
84,versicolor
85,virginica
86,virginica
87,virginica
88,virginica
89,virginica
90,versicolor
91,versicolor
92,virginica
93,virginica
94,versicolor
95,virginica
96,virginica
97,virginica
98,virginica
99,versicolor
100,virginica
101,virginica
102,versicolor
103,versicolor
104,versicolor
105,versicolor
106,versicolor
107,versicolor
108,versicolor
109,versicolor
110,virginica
111,virginica
112,versicolor
113,virginica
114,versicolor
115,versicolor
116,virginica
117,virginica
118,virginica
119,versicolor
120,virginica
121,virginica
122,virginica
123,versicolor
124,versicolor
125,virginica
126,virginica
127,versicolor
128,virginica
129,versicolor
130,virginica
131,versicolor
132,virginica
133,versicolor
134,versicolor
135,versicolor
136,versicolor
137,virginica
138,virginica
139,virginica
140,virginica
141,virginica
142,virginica
143,versicolor
144,virginica
145,virginica
146,virginica
147,versicolor
148,virginica
149,virginica
150,virginica
