,Predicted_AverageOzoneReading
5,4.17186095555752
6,7.80583031857408
7,-0.782900941677655
8,3.22306956668393
9,5.94742255205777
12,5.17262626242503
13,7.24787301179492
14,5.56612080181009
15,6.53660367681426
16,6.1750073840633
19,10.0864327813904
21,3.48383110659566
22,3.17404010571317
23,5.34966844649284
27,8.02612659359492
29,5.16887580338215
30,7.13447580173294
33,15.1813963246789
34,8.17244703362668
35,5.64476460114739
36,2.16993531724135
37,6.3233903660341
40,2.84526908865333
41,4.96014653762765
43,7.22944595681137
44,11.6901500138195
48,10.1689055767477
49,13.8267211919216
51,3.41542658280756
54,1.19471917923961
55,2.48777490843276
56,11.666985253859
57,12.7011961484702
58,13.4625246406264
61,2.82783089602422
62,-4.01731264849808
63,-4.52678763692441
65,5.97551239954185
68,4.83231752519663
69,6.14091783662642
70,3.82529512540459
71,5.27263999388009
72,10.0743522298222
75,15.1672988731296
76,11.8643721213786
77,18.5578865822764
78,12.1722587685104
79,2.08063767367201
82,12.106675216896
83,10.8270223691634
85,9.15966454636349
86,9.82982023044211
89,9.83048774710801
90,11.0226121081452
91,9.79507396646691
92,10.430725848629
93,14.4113255421049
96,2.39888477582859
97,8.16921821413918
98,12.1704914118847
99,3.62176498855009
100,13.1824702041693
103,4.17019873760888
104,3.17459244267639
105,6.16699900295817
106,4.72642447430424
110,14.1690775720075
111,21.1690827211439
112,18.8742687366036
113,6.97798678636472
114,13.2902587844642
117,11.5589474711259
118,6.82818771300038
119,8.17184501176858
120,17.4167013581162
121,21.1890345535388
125,15.9340799305388
127,9.39748134277791
128,11.7753618989563
131,19.1733689308675
132,22.7747678161538
133,25.2388038905822
134,25.8315469753728
135,23.8338170983659
146,9.82700667772997
149,13.0543419040873
154,16.1703978134787
155,14.3067730684578
156,14.8448140410994
159,8.29614773787981
160,9.63768358773615
161,5.82966355534259
162,5.55320608902136
163,11.1675170806817
166,22.8851524406687
167,20.945197358342
168,14.9183728466823
169,16.8018558274944
170,20.4849277143836
173,16.1677711035593
174,13.5750121241888
175,15.6112438900166
176,18.8313015852586
188,33.1737057201185
191,28.3051255975795
194,20.8714783074062
195,19.5081801228766
196,25.0202837275266
198,16.0730599962443
201,18.7708015615239
202,26.2668308624713
203,25.9245731037733
205,20.0825131923452
208,23.6537541423046
209,22.7514284926009
210,23.8634249552841
215,13.0787042929441
216,12.0450568082007
222,21.3201543446254
224,24.8319186711031
225,22.1419493933362
229,7.3793733239894
230,12.1036825461367
231,8.21312549185174
233,21.9336756049492
237,21.1554530904071
238,22.8855795307665
239,22.2811925940703
240,26.354306637724
243,26.8144355399353
244,26.0543336649346
245,22.4876398653607
246,17.7832218120839
247,15.8298745442264
251,18.5265539849749
252,17.0688237298509
257,15.7963423300416
258,18.8312845609534
259,5.08113161967511
261,7.10676781684232
265,13.791696666133
266,13.8288513241588
268,10.80220683319
271,9.36417325569482
272,11.5249515149881
273,10.508181683236
274,6.63847168729759
275,7.27195991302957
278,17.8308428517767
279,19.6623826636476
280,24.0089018664862
281,19.312425352216
282,13.1968295956105
286,17.5630002057506
287,19.5797624710292
288,19.6982621080209
289,12.1327511909738
292,10.8261256876194
293,13.3468237006864
294,12.7484580011168
295,11.9017905890431
296,7.83134195178192
301,4.44035288127159
302,7.31634558001555
303,7.8367019409791
308,10.8159067701109
310,7.89742410100241
314,13.1686998617366
315,11.2179803802535
316,4.16931306537474
317,-1.00747148608704
320,5.83140481958533
321,4.55695428062334
322,8.97686020978661
323,6.49080823944572
324,9.13530928473805
327,11.9717348898105
328,11.316417259316
329,11.8474121237152
331,1.32807210407268
334,-0.538038549707155
335,3.82777869901173
336,4.2002871430852
337,4.46956051436214
338,5.05421214962643
341,4.5993962607324
342,2.78354734111189
343,5.06498038944236
344,5.07602591004424
345,5.10759290769264
348,2.17058955588286
349,5.52373422910714
350,4.17432247639084
351,1.3434317522806
352,2.36540462324833
355,5.66253627332302
356,-0.829294437980092
357,-1.1648662573751
358,0.23274579003229
362,2.82898411921892
363,3.5855351450202
364,3.0744537166558
365,1.82831310500433
