,Predicted_TipAmount
1,2.83391968805286
2,2.22544206573928
3,3.17799842565827
4,3.189986867431
5,3.96515173584309
6,3.78646609461066
7,1.85890764283941
8,3.92841216886288
9,2.41865725640006
10,2.3954459486607
11,1.9928190336434
12,4.91770809576208
13,2.45258147540373
14,3.17404466733378
15,2.64108728529512
16,3.00251092030542
17,2.46572694674154
18,2.75662391592841
19,3.0585080367005
20,2.93300231513167
21,2.46290975001006
22,2.91566737108797
23,2.51214771346531
24,4.83505401925053
25,2.63253084502844
26,2.90583724906783
27,2.05671186457131
28,1.99600536740684
29,2.80036645483609
30,2.85853184434494
31,1.71568418932384
32,2.95404534975726
33,2.44876298848475
34,3.40412474301909
35,2.45041135353502
36,3.23742754355939
37,2.54555202440548
38,2.84207968954541
39,2.75802476448113
40,3.88109496202386
41,2.52144797406076
42,2.63470096689715
43,2.32045556981047
44,1.94014721992716
45,4.24265756594956
46,2.70879860314202
47,3.06053918965381
48,4.42120608702154
49,3.85112635009962
50,2.68648003800802
51,2.19547160506009
52,2.23578214246174
53,4.87753467852089
54,1.96335852766652
55,3.81057014495538
56,2.81592771578521
57,4.67570238237642
58,3.46202584556822
59,1.83308276011129
60,5.62513122499402
61,2.64101481796198
62,2.06251760968878
63,1.81344242279337
64,2.91521396460673
65,2.65982307789155
66,2.88211598662616
67,2.57285421062978
68,1.11851584128152
69,2.66913329184819
70,2.16964672233197
71,1.93619161284773
72,2.85457808602045
73,3.46872433329104
74,3.32767100164418
75,2.41930248250788
76,1.80138747943839
77,2.42943482049169
78,3.85006887399391
79,3.00094348949739
80,2.51261328436554
81,2.67107801499954
82,2.45637050022787
83,1.88285691304496
84,3.85306922449603
85,2.39566400306339
86,4.77240910549112
87,2.13230493448223
88,2.60099480229617
89,3.17502829754257
90,2.85810467263981
91,3.56877946589639
92,3.02375718714156
93,1.73700875985837
94,2.68063769372376
95,3.28814611848853
96,5.02139885161618
97,3.41790596559057
98,2.05647349241675
99,2.85815635202992
100,2.1283363539656
101,2.2369446188599
102,2.59671988881993
103,5.25204127089704
104,3.07234661651126
105,2.97191015522565
106,2.20089271351956
107,2.65886967006918
108,3.08024417979904
109,2.49147751338158
110,2.34833236356439
111,2.11295464870899
112,1.52515717984033
113,4.70101731040223
114,3.21409091777571
115,3.83876507378504
116,2.86248745142437
117,4.20069866349765
118,2.1610098180142
119,2.31991800176826
120,3.81271080472924
121,2.012677425364
122,2.40829951969889
123,2.24211227494149
124,2.39298577524731
125,2.32438171479506
126,4.77610724271182
127,1.72967801946492
128,2.50650120628847
129,2.22618002820547
130,3.23267377898792
131,2.67241421072496
132,3.0198282043704
133,2.20743243349291
134,2.30474137747714
135,2.84038694069307
136,1.96996290046718
137,2.13244205464268
138,2.47346972989016
139,2.36397455875574
140,2.38508821195953
141,2.76986027486964
142,4.93666379151614
143,5.32538961275074
144,4.53060302623785
145,2.67701504391221
146,1.95567901878143
147,3.10068499355511
148,2.2699244158681
149,1.84216358774027
150,1.63951101632357
151,2.33206122368015
152,2.24814341877632
153,2.84321994864831
154,3.72040314181403
155,3.29367217645201
156,4.66110818012075
157,6.2818088433908
158,4.00175418266285
159,2.5125323501233
160,3.00085260189397
161,3.44811664717927
162,2.20618451632441
163,2.99065959869315
164,2.30884991594079
165,2.8468673740132
166,3.49135108013959
167,2.92930602666591
168,4.35960684725171
169,2.01623211437052
170,2.01980308479196
171,5.5920390833787
172,2.24106613076076
173,1.68973583730634
174,3.88588264649165
175,2.54409051063575
176,3.97962062005444
177,2.63961396940926
178,2.33518874098154
179,2.14070797317354
180,4.1340650907817
181,4.58859824370914
182,3.12526594672503
183,5.31745899758585
184,3.563729732756
185,4.66256871315475
186,3.60217833000348
187,3.37588095108856
188,4.44091292592171
189,3.1303767346146
190,3.33110670066012
191,2.44321059623008
192,2.94528711500548
193,3.47454635982344
194,2.31755194327703
195,2.41575362986662
196,1.64397472935037
197,1.85868224412205
198,5.47812505321073
199,2.3373294007554
200,2.14168165002113
201,2.83228163866663
202,2.31411809301604
203,2.3373294007554
204,2.64086188657776
205,3.22113462670049
206,2.87348491867364
207,3.42981649319707
208,4.73997984996233
209,2.99632637489522
210,2.20995725973361
211,3.73959817725695
212,3.59369834468024
213,5.63048768062618
214,2.25548713260697
215,3.81204744845155
216,2.22245565620865
217,4.02183200734993
218,1.86432875129889
219,1.52062284823533
220,4.21429157556581
221,2.05895018105364
222,2.41261337293661
223,1.51297449447644
224,2.90100424328547
225,2.17143574932898
226,2.66704501546417
227,2.11533008535176
228,3.14152129688283
229,2.04867718112307
230,3.04556433835046
231,3.42586273487258
232,2.4567270533548
233,1.89958916602797
234,1.82459878717774
235,2.21606933781068
236,1.76210680480255
237,1.95449575444023
238,3.76051404508327
239,4.52936321367559
240,3.68112061842325
241,3.49729209666256
242,2.85348755803763
243,2.45398232395646
244,2.89593852140457
