,Predicted_Survived
1,survived
2,survived
3,survived
4,died
5,survived
6,survived
7,died
8,survived
9,died
10,died
11,died
12,survived
13,survived
14,survived
15,died
16,died
17,died
18,survived
19,survived
20,died
21,died
22,survived
23,survived
24,survived
25,died
26,died
27,survived
28,survived
29,survived
30,survived
31,survived
32,survived
33,died
34,survived
35,survived
36,survived
37,survived
38,survived
39,survived
40,died
41,died
42,survived
43,survived
44,survived
45,survived
46,died
47,died
48,survived
49,survived
50,died
51,survived
52,survived
53,died
54,died
55,survived
56,died
57,died
58,died
59,died
60,died
61,died
62,survived
63,survived
64,survived
65,died
66,died
67,survived
68,survived
69,died
70,died
71,died
72,died
73,died
74,died
75,died
76,died
77,died
78,survived
79,survived
80,survived
81,died
82,survived
83,died
84,survived
85,died
86,survived
87,died
88,died
89,survived
90,died
91,died
92,died
93,survived
94,survived
95,survived
96,died
97,survived
98,survived
99,survived
100,survived
101,survived
102,survived
103,survived
104,died
105,died
106,survived
107,died
108,died
109,survived
110,died
111,died
112,died
113,died
114,survived
115,survived
116,survived
117,died
118,died
119,died
120,died
121,survived
122,survived
123,died
124,died
125,died
126,died
127,survived
128,died
129,died
130,died
131,died
132,died
133,died
134,survived
135,survived
136,survived
137,died
138,died
139,survived
140,survived
141,survived
142,died
143,died
144,died
145,died
146,survived
147,died
148,died
149,survived
150,survived
151,survived
152,survived
153,survived
154,survived
155,survived
156,died
157,died
158,died
159,survived
160,survived
161,survived
162,survived
163,survived
164,died
165,survived
166,died
167,survived
168,survived
169,survived
170,died
171,survived
172,survived
173,survived
174,died
175,survived
176,survived
177,survived
178,survived
179,survived
180,died
181,died
182,died
183,died
184,died
185,died
186,survived
187,survived
188,died
189,died
190,died
191,died
192,survived
193,died
194,survived
195,survived
196,died
197,survived
198,survived
199,died
200,died
201,died
202,died
203,survived
204,survived
205,survived
206,survived
207,died
208,survived
209,died
210,died
211,survived
212,survived
213,survived
214,survived
215,survived
216,survived
217,died
218,died
219,survived
220,survived
221,survived
222,survived
223,died
224,died
225,survived
226,died
227,survived
228,survived
229,survived
230,survived
231,died
232,died
233,survived
234,survived
235,survived
236,survived
237,died
238,survived
239,died
240,died
241,survived
242,died
243,died
244,died
245,survived
246,died
247,died
248,died
249,died
250,died
251,died
252,died
253,died
254,survived
255,survived
256,died
257,died
258,died
259,died
260,died
261,died
262,survived
263,survived
264,died
265,survived
266,survived
267,died
268,died
269,survived
270,died
271,died
272,died
273,died
274,died
275,died
276,died
277,died
278,died
279,survived
280,died
281,died
282,survived
283,died
284,survived
285,died
286,died
287,survived
288,died
289,died
290,died
291,died
292,survived
293,died
294,died
295,survived
296,survived
297,survived
298,died
299,died
300,survived
301,survived
302,survived
303,survived
304,died
305,survived
306,died
307,died
308,died
309,survived
310,died
311,died
312,survived
313,died
314,died
315,died
316,died
317,survived
318,died
319,survived
320,survived
321,survived
322,died
323,survived
324,survived
325,died
326,died
327,died
328,survived
329,died
330,died
331,survived
332,died
333,died
334,died
335,survived
336,survived
337,died
338,survived
339,died
340,died
341,died
342,survived
343,died
344,survived
345,died
346,died
347,survived
348,survived
349,died
350,died
351,died
352,died
353,died
354,died
355,died
356,survived
357,survived
358,died
359,died
360,died
361,died
362,died
363,died
364,died
365,died
366,died
367,died
368,survived
369,survived
370,survived
371,died
372,died
373,survived
374,died
375,died
376,survived
377,died
378,died
379,died
380,died
381,survived
382,survived
383,survived
384,survived
385,survived
386,died
387,survived
388,survived
389,died
390,survived
391,survived
392,survived
393,died
394,died
395,survived
396,survived
397,died
398,died
399,survived
400,died
401,died
402,died
403,survived
404,survived
405,died
406,survived
407,died
408,survived
409,died
410,died
411,died
412,survived
413,died
414,died
415,survived
416,died
417,died
418,survived
419,survived
420,died
421,died
422,survived
423,died
424,died
425,died
426,died
427,survived
428,survived
429,survived
430,survived
431,survived
432,died
433,survived
434,survived
435,died
436,survived
437,died
438,survived
439,survived
440,died
441,survived
442,died
443,died
444,survived
445,survived
446,died
447,survived
448,survived
449,survived
450,survived
451,survived
452,survived
453,survived
454,survived
455,died
456,survived
457,survived
458,died
459,died
460,survived
461,survived
462,died
463,survived
464,died
465,died
466,survived
467,survived
468,died
469,died
470,died
471,survived
472,died
473,survived
474,survived
475,died
476,died
477,survived
478,survived
479,died
480,died
481,survived
482,died
483,died
484,survived
485,survived
486,survived
487,survived
488,died
489,survived
490,survived
491,died
492,survived
493,died
494,died
495,survived
496,died
497,survived
498,survived
499,survived
500,survived
501,died
502,died
503,died
504,died
505,died
506,died
507,survived
508,died
509,survived
510,survived
511,survived
512,survived
513,survived
514,died
515,survived
516,died
517,died
518,died
519,survived
520,died
521,survived
522,survived
523,died
524,died
525,survived
526,survived
527,died
528,died
529,survived
530,died
531,survived
532,survived
533,died
534,died
535,survived
536,survived
537,died
538,survived
539,survived
540,died
541,died
542,survived
543,survived
544,survived
545,died
546,survived
547,died
548,died
549,died
550,died
551,died
552,died
553,died
554,died
555,died
556,died
557,died
558,died
559,died
560,died
561,died
562,died
563,died
564,survived
565,died
566,died
567,died
568,survived
569,survived
570,survived
571,survived
572,survived
573,survived
574,survived
575,died
576,died
577,died
578,died
579,died
580,died
581,died
582,died
583,died
584,survived
585,survived
586,survived
587,survived
588,survived
