,Predicted_Type
1,1
2,2
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,2
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,2
24,2
25,1
26,2
27,1
28,2
29,1
30,2
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,2
40,1
41,1
42,3
43,1
44,3
45,2
46,3
47,1
48,2
49,1
50,1
51,2
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,3
62,3
63,1
64,2
65,2
66,2
67,2
68,2
69,3
70,2
71,2
72,1
73,3
74,1
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,3
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,3
94,2
95,2
96,1
97,1
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,3
107,2
108,2
109,2
110,1
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,3
120,2
121,1
122,2
123,3
124,3
125,1
126,2
127,2
128,3
129,2
130,3
131,3
132,3
133,2
134,3
135,3
136,3
137,2
138,2
139,3
140,2
141,2
142,3
143,2
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,1
159,3
160,3
161,3
162,2
163,1
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,2
172,3
173,3
174,3
175,3
176,3
177,3
178,3
