,Predicted_RetailPrice
1,19055.1171428571
2,19055.1171428571
3,29396.5295833333
4,29396.5295833333
5,29396.5295833333
6,29396.5295833333
7,29396.5295833333
8,29396.5295833333
9,29396.5295833333
10,29396.5295833333
11,29396.5295833333
12,29396.5295833333
13,29396.5295833333
14,29396.5295833333
15,29396.5295833333
16,29396.5295833333
17,29396.5295833333
18,29396.5295833333
19,29396.5295833333
20,29396.5295833333
21,29396.5295833333
22,29396.5295833333
23,29396.5295833333
24,29396.5295833333
25,29396.5295833333
26,29396.5295833333
27,29396.5295833333
28,29396.5295833333
29,29396.5295833333
30,29396.5295833333
31,29396.5295833333
32,29396.5295833333
33,29396.5295833333
34,29396.5295833333
35,29396.5295833333
36,29396.5295833333
37,29396.5295833333
38,29396.5295833333
39,29396.5295833333
40,29396.5295833333
41,29396.5295833333
42,29396.5295833333
43,29396.5295833333
44,29396.5295833333
45,29396.5295833333
46,29396.5295833333
47,29396.5295833333
48,29396.5295833333
49,29396.5295833333
50,29396.5295833333
51,29396.5295833333
52,29396.5295833333
53,29396.5295833333
54,29396.5295833333
55,29396.5295833333
56,29396.5295833333
57,29396.5295833333
58,29396.5295833333
59,29396.5295833333
60,29396.5295833333
61,29396.5295833333
62,13224.0914864865
63,13224.0914864865
64,13224.0914864865
65,13224.0914864865
66,13224.0914864865
67,13224.0914864865
68,13224.0914864865
69,50443.195
70,50443.195
71,50443.195
72,50443.195
73,50443.195
74,50443.195
75,50443.195
76,13224.0914864865
77,13224.0914864865
78,13224.0914864865
79,13224.0914864865
80,13224.0914864865
81,13224.0914864865
82,13224.0914864865
83,13224.0914864865
84,13224.0914864865
85,13224.0914864865
86,13224.0914864865
87,13224.0914864865
88,13224.0914864865
89,13224.0914864865
90,38542.5191111111
91,38542.5191111111
92,38542.5191111111
93,38542.5191111111
94,38542.5191111111
95,38542.5191111111
96,38542.5191111111
97,26837.523125
98,26837.523125
99,26837.523125
100,26837.523125
101,26837.523125
102,26837.523125
103,26837.523125
104,13224.0914864865
105,13224.0914864865
106,13224.0914864865
107,13224.0914864865
108,13224.0914864865
109,13224.0914864865
110,13224.0914864865
111,19055.1171428571
112,19055.1171428571
113,19055.1171428571
114,19055.1171428571
115,19055.1171428571
116,19055.1171428571
117,19055.1171428571
118,19055.1171428571
119,19055.1171428571
120,19055.1171428571
121,19055.1171428571
122,19055.1171428571
123,19055.1171428571
124,19055.1171428571
125,19055.1171428571
126,19055.1171428571
127,19055.1171428571
128,19055.1171428571
129,19055.1171428571
130,19055.1171428571
131,19055.1171428571
132,19055.1171428571
133,19055.1171428571
134,19055.1171428571
135,19055.1171428571
136,19055.1171428571
137,19055.1171428571
138,19055.1171428571
139,38542.5191111111
140,38542.5191111111
141,38542.5191111111
142,38542.5191111111
143,38542.5191111111
144,38542.5191111111
145,38542.5191111111
146,38542.5191111111
147,38542.5191111111
148,38542.5191111111
149,38542.5191111111
150,38542.5191111111
151,38542.5191111111
152,38542.5191111111
