,Predicted_price
4,10356.6176470588
5,16299.4666666667
7,16299.4666666667
9,16299.4666666667
11,10356.6176470588
12,10356.6176470588
13,27815.5714285714
14,27815.5714285714
19,7145.79245283019
20,7145.79245283019
21,7145.79245283019
22,7145.79245283019
23,7145.79245283019
24,7145.79245283019
25,7145.79245283019
26,7145.79245283019
27,7145.79245283019
29,10356.6176470588
30,16299.4666666667
31,7145.79245283019
32,7145.79245283019
33,7145.79245283019
34,7145.79245283019
35,7145.79245283019
36,7145.79245283019
37,7145.79245283019
38,7145.79245283019
39,7145.79245283019
40,10356.6176470588
41,10356.6176470588
42,10356.6176470588
43,10356.6176470588
48,27815.5714285714
51,7145.79245283019
52,7145.79245283019
53,7145.79245283019
54,7145.79245283019
55,7145.79245283019
60,10356.6176470588
61,10356.6176470588
62,10356.6176470588
63,10356.6176470588
65,10356.6176470588
66,10356.6176470588
68,27815.5714285714
69,27815.5714285714
70,27815.5714285714
71,27815.5714285714
73,27815.5714285714
77,7145.79245283019
78,7145.79245283019
79,7145.79245283019
80,7145.79245283019
81,10356.6176470588
82,10356.6176470588
86,10356.6176470588
87,10356.6176470588
88,10356.6176470588
89,10356.6176470588
90,7145.79245283019
91,7145.79245283019
92,7145.79245283019
93,7145.79245283019
94,7145.79245283019
95,7145.79245283019
96,7145.79245283019
97,7145.79245283019
98,7145.79245283019
99,7145.79245283019
100,10356.6176470588
101,10356.6176470588
102,16299.4666666667
103,16299.4666666667
104,16299.4666666667
105,16299.4666666667
106,16299.4666666667
107,16299.4666666667
108,16299.4666666667
109,16299.4666666667
112,16299.4666666667
113,16299.4666666667
116,16299.4666666667
117,16299.4666666667
118,16299.4666666667
119,7145.79245283019
120,7145.79245283019
121,7145.79245283019
122,7145.79245283019
123,7145.79245283019
124,10356.6176470588
126,16299.4666666667
133,10356.6176470588
134,10356.6176470588
135,16299.4666666667
136,16299.4666666667
137,16299.4666666667
138,16299.4666666667
139,7145.79245283019
140,7145.79245283019
141,7145.79245283019
142,7145.79245283019
143,7145.79245283019
144,10356.6176470588
145,10356.6176470588
146,10356.6176470588
147,7145.79245283019
148,10356.6176470588
149,10356.6176470588
150,10356.6176470588
151,7145.79245283019
152,7145.79245283019
153,7145.79245283019
154,7145.79245283019
155,7145.79245283019
156,16299.4666666667
157,7145.79245283019
158,7145.79245283019
159,7145.79245283019
160,7145.79245283019
161,7145.79245283019
162,7145.79245283019
163,7145.79245283019
164,7145.79245283019
165,7145.79245283019
166,7145.79245283019
167,10356.6176470588
168,10356.6176470588
169,10356.6176470588
170,10356.6176470588
171,10356.6176470588
172,16299.4666666667
173,16299.4666666667
174,10356.6176470588
175,10356.6176470588
176,10356.6176470588
177,10356.6176470588
178,10356.6176470588
179,16299.4666666667
180,16299.4666666667
181,16299.4666666667
183,7145.79245283019
184,7145.79245283019
185,7145.79245283019
186,7145.79245283019
187,7145.79245283019
188,10356.6176470588
189,10356.6176470588
191,7145.79245283019
195,16299.4666666667
196,16299.4666666667
197,16299.4666666667
198,16299.4666666667
199,16299.4666666667
200,16299.4666666667
201,16299.4666666667
202,16299.4666666667
203,16299.4666666667
204,16299.4666666667
205,16299.4666666667
