,Predicted_Species,SetosaSpeciesProbability,VersicolorSpeciesProbability,VirginicaSpeciesProbability
1,setosa,1,0,0
2,setosa,1,0,0
3,setosa,1,0,0
4,setosa,1,0,0
5,setosa,1,0,0
6,setosa,1,0,0
7,setosa,1,0,0
8,setosa,1,0,0
9,setosa,1,0,0
10,setosa,1,0,0
11,setosa,1,0,0
12,setosa,1,0,0
13,setosa,1,0,0
14,setosa,1,0,0
15,setosa,1,0,0
16,setosa,1,0,0
17,setosa,1,0,0
18,setosa,1,0,0
19,setosa,1,0,0
20,setosa,1,0,0
21,setosa,1,0,0
22,setosa,1,0,0
23,setosa,1,0,0
24,setosa,1,0,0
25,setosa,1,0,0
26,setosa,1,0,0
27,setosa,1,0,0
28,setosa,1,0,0
29,setosa,1,0,0
30,setosa,1,0,0
31,setosa,1,0,0
32,setosa,1,0,0
33,setosa,1,0,0
34,setosa,1,0,0
35,setosa,1,0,0
36,setosa,1,0,0
37,setosa,1,0,0
38,setosa,1,0,0
39,setosa,1,0,0
40,setosa,1,0,0
41,setosa,1,0,0
42,setosa,1,0,0
43,setosa,1,0,0
44,setosa,1,0,0
45,setosa,1,0,0
46,setosa,1,0,0
47,setosa,1,0,0
48,setosa,1,0,0
49,setosa,1,0,0
50,setosa,1,0,0
51,versicolor,0,0.931818181818182,0.0681818181818182
52,versicolor,0,0.931818181818182,0.0681818181818182
53,versicolor,0,0.931818181818182,0.0681818181818182
54,versicolor,0,0.931818181818182,0.0681818181818182
55,versicolor,0,0.931818181818182,0.0681818181818182
56,versicolor,0,0.931818181818182,0.0681818181818182
57,versicolor,0,0.931818181818182,0.0681818181818182
58,versicolor,0,0.931818181818182,0.0681818181818182
59,versicolor,0,0.931818181818182,0.0681818181818182
60,versicolor,0,0.931818181818182,0.0681818181818182
61,versicolor,0,0.931818181818182,0.0681818181818182
62,versicolor,0,0.931818181818182,0.0681818181818182
63,versicolor,0,0.931818181818182,0.0681818181818182
64,versicolor,0,0.931818181818182,0.0681818181818182
65,versicolor,0,0.931818181818182,0.0681818181818182
66,versicolor,0,0.931818181818182,0.0681818181818182
67,versicolor,0,0.931818181818182,0.0681818181818182
68,versicolor,0,0.931818181818182,0.0681818181818182
69,versicolor,0,0.931818181818182,0.0681818181818182
70,versicolor,0,0.931818181818182,0.0681818181818182
71,virginica,0,0,1
72,versicolor,0,0.931818181818182,0.0681818181818182
73,versicolor,0,0.931818181818182,0.0681818181818182
74,versicolor,0,0.931818181818182,0.0681818181818182
75,versicolor,0,0.931818181818182,0.0681818181818182
76,versicolor,0,0.931818181818182,0.0681818181818182
77,versicolor,0,0.931818181818182,0.0681818181818182
78,virginica,0,0,1
79,versicolor,0,0.931818181818182,0.0681818181818182
80,versicolor,0,0.931818181818182,0.0681818181818182
81,versicolor,0,0.931818181818182,0.0681818181818182
82,versicolor,0,0.931818181818182,0.0681818181818182
83,versicolor,0,0.931818181818182,0.0681818181818182
84,versicolor,0,0.931818181818182,0.0681818181818182
85,versicolor,0,0.931818181818182,0.0681818181818182
86,versicolor,0,0.931818181818182,0.0681818181818182
87,versicolor,0,0.931818181818182,0.0681818181818182
88,versicolor,0,0.931818181818182,0.0681818181818182
89,versicolor,0,0.931818181818182,0.0681818181818182
90,versicolor,0,0.931818181818182,0.0681818181818182
91,versicolor,0,0.931818181818182,0.0681818181818182
92,versicolor,0,0.931818181818182,0.0681818181818182
93,versicolor,0,0.931818181818182,0.0681818181818182
94,versicolor,0,0.931818181818182,0.0681818181818182
95,versicolor,0,0.931818181818182,0.0681818181818182
96,versicolor,0,0.931818181818182,0.0681818181818182
97,versicolor,0,0.931818181818182,0.0681818181818182
98,versicolor,0,0.931818181818182,0.0681818181818182
99,versicolor,0,0.931818181818182,0.0681818181818182
100,versicolor,0,0.931818181818182,0.0681818181818182
101,virginica,0,0,1
102,virginica,0,0,1
103,virginica,0,0,1
104,virginica,0,0,1
105,virginica,0,0,1
106,virginica,0,0,1
107,virginica,0,0,1
108,virginica,0,0,1
109,virginica,0,0,1
110,virginica,0,0,1
111,virginica,0,0,1
112,virginica,0,0,1
113,virginica,0,0,1
114,virginica,0,0,1
115,virginica,0,0,1
116,virginica,0,0,1
117,virginica,0,0,1
118,virginica,0,0,1
119,virginica,0,0,1
120,versicolor,0,0.931818181818182,0.0681818181818182
121,virginica,0,0,1
122,virginica,0,0,1
123,virginica,0,0,1
124,virginica,0,0,1
125,virginica,0,0,1
126,virginica,0,0,1
127,virginica,0,0,1
128,virginica,0,0,1
129,virginica,0,0,1
130,versicolor,0,0.931818181818182,0.0681818181818182
131,virginica,0,0,1
132,virginica,0,0,1
133,virginica,0,0,1
134,versicolor,0,0.931818181818182,0.0681818181818182
135,versicolor,0,0.931818181818182,0.0681818181818182
136,virginica,0,0,1
137,virginica,0,0,1
138,virginica,0,0,1
139,virginica,0,0,1
140,virginica,0,0,1
141,virginica,0,0,1
142,virginica,0,0,1
143,virginica,0,0,1
144,virginica,0,0,1
145,virginica,0,0,1
146,virginica,0,0,1
147,virginica,0,0,1
148,virginica,0,0,1
149,virginica,0,0,1
150,virginica,0,0,1
