,Predicted_TipAmount
1,2.94279069767442
2,2.10792207792208
3,3.76807692307692
4,3.76807692307692
5,3.76807692307692
6,3.76807692307692
7,2.10792207792208
8,3.76807692307692
9,2.10792207792208
10,2.10792207792208
11,2.10792207792208
12,4.72
13,2.10792207792208
14,2.94279069767442
15,2.10792207792208
16,3.76807692307692
17,2.10792207792208
18,2.94279069767442
19,2.94279069767442
20,3.38931034482759
21,2.94279069767442
22,2.94279069767442
23,2.10792207792208
24,5.304
25,2.94279069767442
26,2.94279069767442
27,2.10792207792208
28,2.10792207792208
29,3.38931034482759
30,2.94279069767442
31,2.10792207792208
32,2.94279069767442
33,2.10792207792208
34,3.38931034482759
35,2.94279069767442
36,3.38931034482759
37,2.94279069767442
38,2.94279069767442
39,2.94279069767442
40,3.38931034482759
41,2.10792207792208
42,2.94279069767442
43,2.10792207792208
44,2.10792207792208
45,4.72
46,2.94279069767442
47,3.76807692307692
48,4.72
49,3.76807692307692
50,2.94279069767442
51,2.10792207792208
52,2.10792207792208
53,4.72
54,2.10792207792208
55,3.76807692307692
56,2.94279069767442
57,3.38931034482759
58,3.38931034482759
59,2.10792207792208
60,5.304
61,2.94279069767442
62,2.10792207792208
63,2.10792207792208
64,2.94279069767442
65,2.94279069767442
66,2.94279069767442
67,2.94279069767442
68,2.10792207792208
69,2.94279069767442
70,2.10792207792208
71,2.10792207792208
72,2.94279069767442
73,3.38931034482759
74,3.38931034482759
75,2.10792207792208
76,2.10792207792208
77,2.94279069767442
78,3.76807692307692
79,3.76807692307692
80,2.94279069767442
81,2.94279069767442
82,2.94279069767442
83,2.10792207792208
84,4.72
85,2.10792207792208
86,4.72
87,2.10792207792208
88,2.94279069767442
89,3.76807692307692
90,3.76807692307692
91,3.38931034482759
92,3.38931034482759
93,2.10792207792208
94,2.94279069767442
95,3.38931034482759
96,5.304
97,3.38931034482759
98,2.10792207792208
99,3.38931034482759
100,2.10792207792208
101,2.10792207792208
102,2.10792207792208
103,5.304
104,3.38931034482759
105,3.38931034482759
106,2.10792207792208
107,3.38931034482759
108,3.38931034482759
109,2.94279069767442
110,2.10792207792208
111,2.10792207792208
112,2.10792207792208
113,4.72
114,3.76807692307692
115,3.76807692307692
116,2.94279069767442
117,4.72
118,2.10792207792208
119,2.10792207792208
120,3.76807692307692
121,2.10792207792208
122,2.10792207792208
123,2.10792207792208
124,2.10792207792208
125,2.10792207792208
126,4.72
127,2.10792207792208
128,2.10792207792208
129,2.10792207792208
130,3.76807692307692
131,2.94279069767442
132,2.94279069767442
133,2.10792207792208
134,2.10792207792208
135,2.94279069767442
136,2.10792207792208
137,2.10792207792208
138,2.10792207792208
139,2.10792207792208
140,2.10792207792208
141,2.94279069767442
142,4.72
143,5.304
144,3.76807692307692
145,2.94279069767442
146,2.10792207792208
147,2.94279069767442
148,2.10792207792208
149,2.10792207792208
150,2.10792207792208
151,2.10792207792208
152,2.10792207792208
153,2.94279069767442
154,3.76807692307692
155,2.94279069767442
156,4.72
157,5.304
158,3.76807692307692
159,2.10792207792208
160,2.94279069767442
161,3.76807692307692
162,2.10792207792208
163,2.10792207792208
164,2.10792207792208
165,2.94279069767442
166,3.76807692307692
167,3.76807692307692
168,4.72
169,2.10792207792208
170,2.10792207792208
171,5.304
172,2.10792207792208
173,2.10792207792208
174,4.72
175,2.94279069767442
176,4.72
177,2.94279069767442
178,2.10792207792208
179,2.10792207792208
180,4.72
181,4.72
182,3.76807692307692
183,5.304
184,3.76807692307692
185,5.304
186,3.76807692307692
187,3.76807692307692
188,4.72
189,2.94279069767442
190,3.76807692307692
191,2.10792207792208
192,2.94279069767442
193,3.76807692307692
194,2.10792207792208
195,2.94279069767442
196,2.10792207792208
197,2.10792207792208
198,5.304
199,2.10792207792208
200,2.10792207792208
201,2.94279069767442
202,2.10792207792208
203,2.10792207792208
204,2.94279069767442
205,3.76807692307692
206,2.94279069767442
207,3.38931034482759
208,3.38931034482759
209,3.38931034482759
210,2.10792207792208
211,3.38931034482759
212,3.38931034482759
213,5.304
214,2.10792207792208
215,3.38931034482759
216,2.10792207792208
217,3.38931034482759
218,2.10792207792208
219,2.10792207792208
220,3.38931034482759
221,2.10792207792208
222,2.10792207792208
223,2.10792207792208
224,2.10792207792208
225,2.10792207792208
226,2.10792207792208
227,2.10792207792208
228,2.94279069767442
229,2.10792207792208
230,3.38931034482759
231,3.38931034482759
232,2.10792207792208
233,2.10792207792208
234,2.10792207792208
235,2.10792207792208
236,2.10792207792208
237,2.10792207792208
238,3.38931034482759
239,3.38931034482759
240,3.38931034482759
241,3.38931034482759
242,3.38931034482759
243,2.94279069767442
244,2.94279069767442
