,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
1,survived,0.0663265306122449,0.933673469387755
2,survived,0.0434782608695652,0.956521739130435
3,survived,0.0663265306122449,0.933673469387755
4,died,0.817248459958932,0.182751540041068
5,survived,0.0663265306122449,0.933673469387755
6,died,0.817248459958932,0.182751540041068
7,survived,0.0663265306122449,0.933673469387755
8,died,0.817248459958932,0.182751540041068
9,survived,0.0663265306122449,0.933673469387755
10,died,0.817248459958932,0.182751540041068
11,died,0.817248459958932,0.182751540041068
12,survived,0.0663265306122449,0.933673469387755
13,survived,0.0663265306122449,0.933673469387755
14,survived,0.0663265306122449,0.933673469387755
15,died,0.817248459958932,0.182751540041068
17,died,0.817248459958932,0.182751540041068
18,survived,0.0663265306122449,0.933673469387755
19,survived,0.0663265306122449,0.933673469387755
20,died,0.817248459958932,0.182751540041068
21,died,0.817248459958932,0.182751540041068
22,survived,0.0663265306122449,0.933673469387755
23,died,0.817248459958932,0.182751540041068
24,survived,0.0663265306122449,0.933673469387755
25,survived,0.0663265306122449,0.933673469387755
26,died,0.817248459958932,0.182751540041068
27,died,0.817248459958932,0.182751540041068
28,survived,0.0663265306122449,0.933673469387755
29,survived,0.0663265306122449,0.933673469387755
30,died,0.817248459958932,0.182751540041068
31,died,0.817248459958932,0.182751540041068
32,died,0.817248459958932,0.182751540041068
33,survived,0.0663265306122449,0.933673469387755
34,survived,0.0663265306122449,0.933673469387755
35,died,0.817248459958932,0.182751540041068
36,survived,0.0663265306122449,0.933673469387755
37,survived,0.0663265306122449,0.933673469387755
39,died,0.817248459958932,0.182751540041068
40,died,0.817248459958932,0.182751540041068
42,survived,0.0663265306122449,0.933673469387755
43,survived,0.0663265306122449,0.933673469387755
44,survived,0.0663265306122449,0.933673469387755
45,survived,0.0663265306122449,0.933673469387755
46,died,0.817248459958932,0.182751540041068
48,died,0.817248459958932,0.182751540041068
49,survived,0.0663265306122449,0.933673469387755
50,died,0.817248459958932,0.182751540041068
51,survived,0.0663265306122449,0.933673469387755
52,died,0.817248459958932,0.182751540041068
53,died,0.817248459958932,0.182751540041068
54,died,0.817248459958932,0.182751540041068
55,died,0.817248459958932,0.182751540041068
56,survived,0.0663265306122449,0.933673469387755
57,died,0.817248459958932,0.182751540041068
58,survived,0.0663265306122449,0.933673469387755
59,died,0.817248459958932,0.182751540041068
61,died,0.817248459958932,0.182751540041068
62,survived,0.0663265306122449,0.933673469387755
63,died,0.817248459958932,0.182751540041068
64,survived,0.0663265306122449,0.933673469387755
65,died,0.817248459958932,0.182751540041068
66,survived,0.0663265306122449,0.933673469387755
67,survived,0.0663265306122449,0.933673469387755
68,survived,0.0663265306122449,0.933673469387755
69,died,0.817248459958932,0.182751540041068
72,died,0.817248459958932,0.182751540041068
73,survived,0.0663265306122449,0.933673469387755
74,survived,0.0663265306122449,0.933673469387755
76,died,0.817248459958932,0.182751540041068
77,survived,0.0663265306122449,0.933673469387755
78,died,0.817248459958932,0.182751540041068
79,survived,0.0663265306122449,0.933673469387755
80,survived,0.0663265306122449,0.933673469387755
82,died,0.817248459958932,0.182751540041068
83,survived,0.0663265306122449,0.933673469387755
84,survived,0.0663265306122449,0.933673469387755
85,died,0.817248459958932,0.182751540041068
86,survived,0.0663265306122449,0.933673469387755
87,died,0.817248459958932,0.182751540041068
88,died,0.817248459958932,0.182751540041068
89,survived,0.0663265306122449,0.933673469387755
90,died,0.817248459958932,0.182751540041068
91,survived,0.0663265306122449,0.933673469387755
92,died,0.817248459958932,0.182751540041068
93,survived,0.0663265306122449,0.933673469387755
94,died,0.817248459958932,0.182751540041068
95,survived,0.0434782608695652,0.956521739130435
96,survived,0.0663265306122449,0.933673469387755
97,died,0.817248459958932,0.182751540041068
98,survived,0.0663265306122449,0.933673469387755
99,survived,0.0663265306122449,0.933673469387755
100,survived,0.0663265306122449,0.933673469387755
101,died,0.817248459958932,0.182751540041068
102,died,0.817248459958932,0.182751540041068
103,survived,0.0663265306122449,0.933673469387755
104,survived,0.0663265306122449,0.933673469387755
105,survived,0.0663265306122449,0.933673469387755
106,survived,0.0663265306122449,0.933673469387755
110,died,0.817248459958932,0.182751540041068
111,died,0.817248459958932,0.182751540041068
112,survived,0.0663265306122449,0.933673469387755
113,survived,0.0663265306122449,0.933673469387755
114,survived,0.0663265306122449,0.933673469387755
115,died,0.817248459958932,0.182751540041068
116,died,0.817248459958932,0.182751540041068
117,survived,0.0663265306122449,0.933673469387755
118,survived,0.0663265306122449,0.933673469387755
120,died,0.817248459958932,0.182751540041068
121,died,0.817248459958932,0.182751540041068
123,survived,0.0663265306122449,0.933673469387755
124,died,0.817248459958932,0.182751540041068
125,survived,0.0663265306122449,0.933673469387755
127,died,0.817248459958932,0.182751540041068
128,survived,0.0663265306122449,0.933673469387755
129,died,0.817248459958932,0.182751540041068
130,survived,0.0663265306122449,0.933673469387755
131,survived,0.0663265306122449,0.933673469387755
132,survived,0.0663265306122449,0.933673469387755
133,died,0.817248459958932,0.182751540041068
134,died,0.817248459958932,0.182751540041068
136,died,0.817248459958932,0.182751540041068
137,died,0.817248459958932,0.182751540041068
138,survived,0.0663265306122449,0.933673469387755
139,died,0.817248459958932,0.182751540041068
140,survived,0.0663265306122449,0.933673469387755
141,died,0.817248459958932,0.182751540041068
142,survived,0.0663265306122449,0.933673469387755
143,died,0.817248459958932,0.182751540041068
144,died,0.817248459958932,0.182751540041068
145,survived,0.0663265306122449,0.933673469387755
146,died,0.817248459958932,0.182751540041068
147,survived,0.0663265306122449,0.933673469387755
149,died,0.817248459958932,0.182751540041068
150,survived,0.0663265306122449,0.933673469387755
151,died,0.817248459958932,0.182751540041068
152,died,0.817248459958932,0.182751540041068
154,survived,0.0663265306122449,0.933673469387755
155,died,0.817248459958932,0.182751540041068
156,survived,0.0663265306122449,0.933673469387755
157,died,0.817248459958932,0.182751540041068
159,died,0.817248459958932,0.182751540041068
160,survived,0.0663265306122449,0.933673469387755
161,survived,0.0663265306122449,0.933673469387755
162,survived,0.0663265306122449,0.933673469387755
163,died,0.817248459958932,0.182751540041068
164,survived,0.0663265306122449,0.933673469387755
165,died,0.817248459958932,0.182751540041068
166,died,0.817248459958932,0.182751540041068
168,survived,0.0663265306122449,0.933673469387755
169,survived,0.0663265306122449,0.933673469387755
170,survived,0.0663265306122449,0.933673469387755
171,died,0.817248459958932,0.182751540041068
172,died,0.817248459958932,0.182751540041068
173,died,0.817248459958932,0.182751540041068
174,died,0.817248459958932,0.182751540041068
175,died,0.817248459958932,0.182751540041068
176,died,0.817248459958932,0.182751540041068
178,died,0.817248459958932,0.182751540041068
179,survived,0.0663265306122449,0.933673469387755
181,survived,0.0663265306122449,0.933673469387755
182,survived,0.0663265306122449,0.933673469387755
183,survived,0.0663265306122449,0.933673469387755
184,died,0.817248459958932,0.182751540041068
186,died,0.817248459958932,0.182751540041068
