,Predicted_Type,FirstClassWineProbability,SecondClassWineProbability,ThirdClassWineProbability
1,1,1,0,0
2,1,1,0,0
3,1,1,0,0
4,1,1,0,0
5,2,0.4375,0.5,0.0625
6,1,1,0,0
7,1,1,0,0
8,1,1,0,0
9,1,1,0,0
10,1,1,0,0
11,1,1,0,0
12,1,1,0,0
13,1,1,0,0
14,1,1,0,0
15,1,1,0,0
16,1,1,0,0
17,1,1,0,0
18,1,1,0,0
19,1,1,0,0
20,2,0.4375,0.5,0.0625
21,2,0.4375,0.5,0.0625
22,2,0.4375,0.5,0.0625
23,1,1,0,0
24,1,1,0,0
25,2,0.0444444444444444,0.955555555555555,0
26,2,0.0444444444444444,0.955555555555555,0
27,1,1,0,0
28,1,1,0,0
29,2,0.4375,0.5,0.0625
30,1,1,0,0
31,1,1,0,0
32,1,1,0,0
33,1,1,0,0
34,1,1,0,0
35,1,1,0,0
36,2,0.4375,0.5,0.0625
37,2,0.4375,0.5,0.0625
38,1,1,0,0
39,1,1,0,0
40,2,0.4375,0.5,0.0625
41,2,0.4375,0.5,0.0625
42,1,1,0,0
43,1,1,0,0
44,2,0.4375,0.5,0.0625
45,2,0.4375,0.5,0.0625
46,1,1,0,0
47,1,1,0,0
48,2,0.4375,0.5,0.0625
49,1,1,0,0
50,1,1,0,0
51,1,1,0,0
52,1,1,0,0
53,1,1,0,0
54,1,1,0,0
55,1,1,0,0
56,1,1,0,0
57,2,0.4375,0.5,0.0625
58,1,1,0,0
59,1,1,0,0
60,2,0.0444444444444444,0.955555555555555,0
61,2,0.0444444444444444,0.955555555555555,0
62,2,0.4375,0.5,0.0625
63,2,0.0444444444444444,0.955555555555555,0
64,2,0.4375,0.5,0.0625
65,2,0.0444444444444444,0.955555555555555,0
66,2,0.4375,0.5,0.0625
67,2,0.4375,0.5,0.0625
68,2,0.4375,0.5,0.0625
69,2,0.0444444444444444,0.955555555555555,0
70,2,0.0444444444444444,0.955555555555555,0
71,2,0.0444444444444444,0.955555555555555,0
72,2,0.0444444444444444,0.955555555555555,0
73,2,0.0444444444444444,0.955555555555555,0
74,2,0.0444444444444444,0.955555555555555,0
75,2,0.0444444444444444,0.955555555555555,0
76,2,0.0444444444444444,0.955555555555555,0
77,2,0.4375,0.5,0.0625
78,2,0.0444444444444444,0.955555555555555,0
79,2,0.0444444444444444,0.955555555555555,0
80,2,0.0444444444444444,0.955555555555555,0
81,2,0.0444444444444444,0.955555555555555,0
82,2,0.4375,0.5,0.0625
83,2,0.0444444444444444,0.955555555555555,0
84,2,0.4375,0.5,0.0625
85,2,0.0444444444444444,0.955555555555555,0
86,2,0.0444444444444444,0.955555555555555,0
87,2,0.0444444444444444,0.955555555555555,0
88,2,0.0444444444444444,0.955555555555555,0
89,2,0.0444444444444444,0.955555555555555,0
90,2,0.0444444444444444,0.955555555555555,0
91,2,0.0444444444444444,0.955555555555555,0
92,2,0.0444444444444444,0.955555555555555,0
93,2,0.0444444444444444,0.955555555555555,0
94,2,0.0444444444444444,0.955555555555555,0
95,2,0.0444444444444444,0.955555555555555,0
96,2,0.0444444444444444,0.955555555555555,0
97,2,0.0444444444444444,0.955555555555555,0
98,2,0.0444444444444444,0.955555555555555,0
99,2,0.4375,0.5,0.0625
100,2,0.0444444444444444,0.955555555555555,0
101,2,0.0444444444444444,0.955555555555555,0
102,2,0.0444444444444444,0.955555555555555,0
103,2,0.0444444444444444,0.955555555555555,0
104,2,0.0444444444444444,0.955555555555555,0
105,2,0.0444444444444444,0.955555555555555,0
106,2,0.0444444444444444,0.955555555555555,0
107,2,0.0444444444444444,0.955555555555555,0
108,2,0.0444444444444444,0.955555555555555,0
109,2,0.0444444444444444,0.955555555555555,0
110,2,0.0444444444444444,0.955555555555555,0
111,2,0.0444444444444444,0.955555555555555,0
112,2,0.0444444444444444,0.955555555555555,0
113,2,0.0444444444444444,0.955555555555555,0
114,2,0.0444444444444444,0.955555555555555,0
115,2,0.0444444444444444,0.955555555555555,0
116,2,0.0444444444444444,0.955555555555555,0
117,2,0.0444444444444444,0.955555555555555,0
118,2,0.0444444444444444,0.955555555555555,0
119,2,0.0444444444444444,0.955555555555555,0
120,2,0.0444444444444444,0.955555555555555,0
121,2,0.0444444444444444,0.955555555555555,0
122,2,0.4375,0.5,0.0625
123,2,0.0444444444444444,0.955555555555555,0
124,2,0.0444444444444444,0.955555555555555,0
125,2,0.0444444444444444,0.955555555555555,0
126,2,0.0444444444444444,0.955555555555555,0
127,2,0.4375,0.5,0.0625
128,2,0.0444444444444444,0.955555555555555,0
129,2,0.0444444444444444,0.955555555555555,0
130,2,0.0444444444444444,0.955555555555555,0
131,3,0,0,1
132,3,0,0,1
133,3,0,0,1
134,3,0,0,1
135,3,0,0,1
136,3,0,0,1
137,3,0,0,1
138,3,0,0,1
139,3,0,0,1
140,3,0,0,1
141,3,0,0,1
142,3,0,0,1
143,3,0,0,1
144,3,0,0,1
145,3,0,0,1
146,3,0,0,1
147,3,0,0,1
148,3,0,0,1
149,3,0,0,1
150,3,0,0,1
151,2,0.4375,0.5,0.0625
152,3,0,0,1
153,3,0,0,1
154,3,0,0,1
155,3,0,0,1
156,3,0,0,1
157,3,0,0,1
158,3,0,0,1
159,3,0,0,1
160,3,0,0,1
161,3,0,0,1
162,3,0,0,1
163,3,0,0,1
164,3,0,0,1
165,3,0,0,1
166,3,0,0,1
167,3,0,0,1
168,3,0,0,1
169,3,0,0,1
170,3,0,0,1
171,3,0,0,1
172,3,0,0,1
173,3,0,0,1
174,3,0,0,1
175,3,0,0,1
176,3,0,0,1
177,3,0,0,1
178,3,0,0,1
