Date,Open,High,Low,Close,Volume 
10/31/2007 12:00:00 AM,29.46,37,29.29,36.81,1.771412E+09
11/30/2007 12:00:00 AM,36.53,37.5,32.68,33.6,1.830678E+09
12/31/2007 12:00:00 AM,33.5,36.72,32.63,35.6,1.06655E+09
1/31/2008 12:00:00 AM,35.79,35.96,31.04,32.6,1.948904E+09
2/29/2008 12:00:00 AM,31.06,33.25,27.02,27.2,2.324527E+09
3/31/2008 12:00:00 AM,27.24,29.59,26.87,28.38,1.452431E+09
4/30/2008 12:00:00 AM,28.83,32.1,27.93,28.52,1.446898E+09
5/31/2008 12:00:00 AM,28.5,30.53,27.95,28.32,1.40489E+09
6/30/2008 12:00:00 AM,28.24,29.57,27.11,27.51,1.565399E+09
7/31/2008 12:00:00 AM,27.26,27.91,24.87,25.72,1.637272E+09
8/31/2008 12:00:00 AM,25.92,28.5,25.07,27.29,1.206939E+09
9/30/2008 12:00:00 AM,27.66,27.76,23.5,26.69,1.928124E+09
10/31/2008 12:00:00 AM,26.38,27.47,20.65,22.33,3.046337E+09
11/30/2008 12:00:00 AM,22.48,23.66,17.5,20.22,1.797806E+09
12/31/2008 12:00:00 AM,19.88,21.25,18.47,19.44,1.54777E+09
1/31/2009 12:00:00 AM,19.53,21,16.75,17.1,1.565368E+09
2/28/2009 12:00:00 AM,17.03,19.93,16.1,16.15,1.456123E+09
3/31/2009 12:00:00 AM,15.96,18.88,14.87,18.37,1.625951E+09
4/30/2009 12:00:00 AM,18.23,21.2,18.18,20.26,1.560044E+09
5/31/2009 12:00:00 AM,20.19,20.94,19.01,20.89,1.101359E+09
6/30/2009 12:00:00 AM,21,24.34,20.86,23.77,1.410971E+09
7/31/2009 12:00:00 AM,24.05,25.72,22,23.52,1.516753E+09
8/31/2009 12:00:00 AM,23.82,25.49,23.03,24.65,9.930993E+08
9/30/2009 12:00:00 AM,24.35,26.25,23.76,25.72,1.038878E+09
10/31/2009 12:00:00 AM,25.4,29.35,24.43,27.73,1.521758E+09
11/30/2009 12:00:00 AM,27.7,30.14,27.41,29.41,1.017677E+09
12/31/2009 12:00:00 AM,29.52,31.5,29.25,30.48,9.20386E+08
1/31/2010 12:00:00 AM,30.62,31.24,27.66,28.18,1.359262E+09
2/28/2010 12:00:00 AM,28.39,29.03,27.57,28.67,1.073284E+09
3/31/2010 12:00:00 AM,28.77,30.57,28.24,29.29,1.11018E+09
4/30/2010 12:00:00 AM,29.35,31.58,28.62,30.54,1.318462E+09
5/31/2010 12:00:00 AM,30.67,31.06,24.56,25.8,1.720084E+09
6/30/2010 12:00:00 AM,25.57,26.93,22.95,23.01,1.670943E+09
7/31/2010 12:00:00 AM,23.09,26.41,22.73,25.81,1.410572E+09
8/31/2010 12:00:00 AM,25.98,26.38,23.32,23.46,1.278174E+09
9/30/2010 12:00:00 AM,23.67,25.53,23.54,24.49,1.272898E+09
10/31/2010 12:00:00 AM,24.77,27.2,23.78,26.66,1.280894E+09
11/30/2010 12:00:00 AM,26.88,27.49,24.93,25.26,1.360457E+09
12/31/2010 12:00:00 AM,25.58,28.4,25.56,27.91,1.033542E+09
1/31/2011 12:00:00 AM,28.1,29.46,27.42,27.72,1.360653E+09
2/28/2011 12:00:00 AM,27.8,28.34,26.43,26.58,1.114215E+09
3/31/2011 12:00:00 AM,26.6,26.78,24.68,25.39,1.310822E+09
4/30/2011 12:00:00 AM,25.53,26.87,24.72,25.92,1.313682E+09
5/31/2011 12:00:00 AM,25.97,26.25,24.03,25.01,1.367938E+09
6/30/2011 12:00:00 AM,24.99,26,23.65,26,1.298157E+09
7/31/2011 12:00:00 AM,25.93,28.14,25.84,27.4,1.25897E+09
8/31/2011 12:00:00 AM,27.51,27.68,23.79,26.6,1.718745E+09
9/30/2011 12:00:00 AM,26.46,27.5,24.6,24.89,1.279675E+09
10/31/2011 12:00:00 AM,24.72,27.5,24.26,26.63,1.217971E+09
11/30/2011 12:00:00 AM,26.17,27.2,24.3,25.58,1.046026E+09
12/31/2011 12:00:00 AM,25.63,26.19,25.16,25.96,1.007013E+09
1/31/2012 12:00:00 AM,26.5,29.95,26.39,29.53,1.354734E+09
2/29/2012 12:00:00 AM,29.76,32,29.71,31.74,9.842714E+08
3/31/2012 12:00:00 AM,31.95,32.95,31.49,32.26,9.423009E+08
4/30/2012 12:00:00 AM,32.16,32.89,30.23,32.01,9.413852E+08
5/31/2012 12:00:00 AM,32.05,32.33,28.64,29.19,1.01431E+09
6/30/2012 12:00:00 AM,28.8,31.14,28.32,30.59,9.727738E+08
7/31/2012 12:00:00 AM,30.62,31.05,28.54,29.47,8.464042E+08
8/31/2012 12:00:00 AM,29.59,30.96,28.97,30.82,6.717305E+08
9/30/2012 12:00:00 AM,30.45,31.61,29.74,29.76,8.930377E+08
10/23/2012 10:31:18 AM,29.81,30.25,27.76,27.94,8.228296E+08
