Date,Open,High,Low,Close,Volume 
10/31/2007 12:00:00 AM,36.74,39.93,35.08,39.72,3.581916E+08
11/30/2007 12:00:00 AM,39.75,42.22,36.64,39.33,2.6528E+08
12/31/2007 12:00:00 AM,40.01,40.59,35.4,38.39,2.168922E+08
1/31/2008 12:00:00 AM,38.34,38.38,29.5,37.14,4.742226E+08
2/29/2008 12:00:00 AM,37.11,38.64,33.85,36.01,2.628203E+08
3/31/2008 12:00:00 AM,35.65,35.77,28.47,31.83,4.265671E+08
4/30/2008 12:00:00 AM,33.57,34.9,28.28,30.07,4.266808E+08
5/31/2008 12:00:00 AM,30.16,30.48,27.73,28.4,3.560998E+08
6/30/2008 12:00:00 AM,28.16,28.22,23.61,24.5,4.100301E+08
7/31/2008 12:00:00 AM,23.7,28.34,23.58,27.32,4.138172E+08
8/31/2008 12:00:00 AM,27.27,27.99,24.67,25.17,2.470166E+08
9/30/2008 12:00:00 AM,24.65,25.02,17.22,18.65,4.988492E+08
10/31/2008 12:00:00 AM,18.42,18.87,14.12,15.18,6.193889E+08
11/30/2008 12:00:00 AM,15.7,17.05,12.08,14.17,4.246135E+08
12/31/2008 12:00:00 AM,13.52,16.73,12.87,15.6,3.373742E+08
1/31/2009 12:00:00 AM,15.57,16.38,11.73,12.27,4.315132E+08
2/28/2009 12:00:00 AM,12.13,13.54,9.22,9.36,5.17411E+08
3/31/2009 12:00:00 AM,9.11,12.36,8.47,11.67,4.88927E+08
4/30/2009 12:00:00 AM,11.48,15.13,11.46,14.14,4.28685E+08
5/31/2009 12:00:00 AM,13.73,15.65,13.42,15.3,3.20733E+08
6/30/2009 12:00:00 AM,15.95,16.58,14.01,14.58,3.99892E+08
7/31/2009 12:00:00 AM,14.92,15.77,12.54,13.34,6.297051E+08
8/31/2009 12:00:00 AM,13.51,14.27,12.1,14.01,3.752614E+08
9/30/2009 12:00:00 AM,13.61,16,13.15,14.62,4.734997E+08
10/31/2009 12:00:00 AM,14.41,15.6,12.59,12.61,6.303194E+08
11/30/2009 12:00:00 AM,12.77,14.04,12.56,13.26,3.503642E+08
12/31/2009 12:00:00 AM,13.56,13.6,12.14,12.85,3.232636E+08
1/31/2010 12:00:00 AM,13.26,14.47,12.52,13.69,5.667002E+08
2/28/2010 12:00:00 AM,13.98,14.43,12.73,13.47,4.094309E+08
3/31/2010 12:00:00 AM,13.3,15.65,13.23,15.54,4.268109E+08
4/30/2010 12:00:00 AM,15.81,15.88,11.93,12.16,7.763103E+08
5/31/2010 12:00:00 AM,12.22,12.28,9.64,10.12,7.407681E+08
6/30/2010 12:00:00 AM,10.07,10.27,8,8.15,7.85322E+08
7/31/2010 12:00:00 AM,8.4,9.59,8.21,9.51,5.496474E+08
8/31/2010 12:00:00 AM,9.61,9.73,8.47,8.56,4.315796E+08
9/30/2010 12:00:00 AM,8.82,10.29,8.76,10.03,5.832402E+08
10/31/2010 12:00:00 AM,10.29,11.62,9.98,10.7,5.655607E+08
11/30/2010 12:00:00 AM,10.52,10.88,9.08,9.23,4.859226E+08
12/31/2010 12:00:00 AM,9.5,10.39,9.49,10.32,3.20101E+08
1/31/2011 12:00:00 AM,10.58,11.02,10.2,10.7,4.441105E+08
2/28/2011 12:00:00 AM,10.57,11.75,8.44,8.63,8.977994E+08
3/31/2011 12:00:00 AM,8.73,8.81,7.73,8.51,4.868091E+08
4/30/2011 12:00:00 AM,8.45,9.42,8.26,9.23,4.999626E+08
5/31/2011 12:00:00 AM,9.32,9.38,6.79,7.07,6.018445E+08
6/30/2011 12:00:00 AM,6.51,7.03,5.79,6.42,1.0605E+09
7/31/2011 12:00:00 AM,6.38,6.49,5.31,5.8,6.390419E+08
8/31/2011 12:00:00 AM,5.79,6.59,4.82,6.44,9.500829E+08
9/30/2011 12:00:00 AM,6.69,6.84,5.12,5.66,5.345501E+08
10/31/2011 12:00:00 AM,5.72,7.38,5.1,6.73,6.798887E+08
11/30/2011 12:00:00 AM,6.25,6.91,5.27,5.79,5.887471E+08
12/31/2011 12:00:00 AM,5.8,5.82,4.46,4.82,5.56314E+08
1/31/2012 12:00:00 AM,5.17,5.78,4.93,5.04,7.459172E+08
2/29/2012 12:00:00 AM,5.1,5.87,4.95,5.29,5.885681E+08
3/31/2012 12:00:00 AM,5.31,5.57,4.9,5.49,6.637701E+08
4/30/2012 12:00:00 AM,5.4,5.52,3.54,3.65,1.021921E+09
5/31/2012 12:00:00 AM,3.69,3.75,2.63,2.67,8.118698E+08
6/30/2012 12:00:00 AM,2.65,3.03,2.04,2.07,8.275318E+08
7/31/2012 12:00:00 AM,2.11,2.41,1.63,2.41,9.325698E+08
8/31/2012 12:00:00 AM,2.43,3.39,2.17,2.82,1.343146E+09
9/30/2012 12:00:00 AM,2.9,3.14,2.27,2.58,1.328925E+09
10/23/2012 10:30:28 AM,2.59,2.95,2.52,2.65,7.046568E+08
