Date,Open,High,Low,Close,Volume 
10/31/2007 12:00:00 AM,117.61,121.46,110.96,116.12,1.716701E+08
11/30/2007 12:00:00 AM,115.5,116.09,99.27,105.18,2.013086E+08
12/31/2007 12:00:00 AM,105.55,112.19,104,108.1,1.34154E+08
1/31/2008 12:00:00 AM,108.99,108.99,97.04,107.11,2.477833E+08
2/29/2008 12:00:00 AM,107.16,116.63,100.6,113.86,1.682809E+08
3/31/2008 12:00:00 AM,113.86,119.79,111.8,115.14,1.799531E+08
4/30/2008 12:00:00 AM,115.2,125,113.86,120.7,1.921124E+08
5/31/2008 12:00:00 AM,121.06,129.99,120.78,129.43,1.595225E+08
6/30/2008 12:00:00 AM,128.49,129.37,118.15,118.53,1.523302E+08
7/31/2008 12:00:00 AM,117.5,130.93,116.6,127.98,2.008929E+08
8/31/2008 12:00:00 AM,128.52,129.97,121.5,121.73,1.369524E+08
9/30/2008 12:00:00 AM,122.87,124,109.95,116.96,2.183347E+08
10/31/2008 12:00:00 AM,115.51,116.8,78.82,92.97,3.150239E+08
11/30/2008 12:00:00 AM,92.64,94.76,69.5,81.6,2.183292E+08
12/31/2008 12:00:00 AM,80.95,87.27,75.31,84.16,1.889962E+08
1/31/2009 12:00:00 AM,83.89,94.94,81.76,91.65,2.089956E+08
2/28/2009 12:00:00 AM,90.6,97.1,82.85,92.03,2.230318E+08
3/31/2009 12:00:00 AM,91.17,99.86,83.02,96.89,2.861242E+08
4/30/2009 12:00:00 AM,96.39,106.05,95.7,103.21,2.136038E+08
5/31/2009 12:00:00 AM,103.78,106.82,99.83,106.28,1.530831E+08
6/30/2009 12:00:00 AM,106.94,110.63,103.51,104.42,1.60506E+08
7/31/2009 12:00:00 AM,105,119.37,99.5,117.93,1.762015E+08
8/31/2009 12:00:00 AM,118.88,120.88,116.12,118.05,1.124857E+08
9/30/2009 12:00:00 AM,117.67,122.88,115.15,119.61,1.313416E+08
10/31/2009 12:00:00 AM,119.39,128.61,117.26,120.61,1.836627E+08
11/30/2009 12:00:00 AM,120.77,128.94,119.5,126.35,1.177905E+08
12/31/2009 12:00:00 AM,127.29,132.85,126,130.9,1.246512E+08
1/31/2010 12:00:00 AM,131.18,134.25,121.9,122.39,1.560608E+08
2/28/2010 12:00:00 AM,123.23,128.27,121.61,127.16,1.132187E+08
3/31/2010 12:00:00 AM,127.5,130.73,125.2,128.25,1.400067E+08
4/30/2010 12:00:00 AM,128.95,132.28,127.12,129,1.463935E+08
5/31/2010 12:00:00 AM,129.39,133.1,116,125.26,1.884639E+08
6/30/2010 12:00:00 AM,125,131.94,122.82,123.48,1.620295E+08
7/31/2010 12:00:00 AM,123.85,131.6,120.61,128.4,1.440476E+08
8/31/2010 12:00:00 AM,129.32,132.49,122.28,123.13,1.173837E+08
9/30/2010 12:00:00 AM,125.22,136.11,124.52,134.14,1.161388E+08
10/31/2010 12:00:00 AM,135.14,144,134.39,143.6,1.373174E+08
11/30/2010 12:00:00 AM,143.65,147.53,141.18,141.46,1.040853E+08
12/31/2010 12:00:00 AM,143.85,147.5,143.51,146.76,9.33775E+07
1/31/2011 12:00:00 AM,147.21,164.35,146.64,162,1.18838E+08
2/28/2011 12:00:00 AM,162.11,166.25,159.03,161.88,8.90936E+07
3/31/2011 12:00:00 AM,163.15,167.72,151.71,163.07,1.297735E+08
4/30/2011 12:00:00 AM,163.56,173,162.19,170.58,1.008122E+08
5/31/2011 12:00:00 AM,172.11,173.54,165.9,168.93,1.109032E+08
6/30/2011 12:00:00 AM,168.9,172.45,161.52,171.55,1.05445E+08
7/31/2011 12:00:00 AM,171.61,185.63,171.49,181.85,1.135076E+08
8/31/2011 12:00:00 AM,182.6,183.69,157.13,171.91,1.950623E+08
9/30/2011 12:00:00 AM,172.71,180.91,158.76,174.87,1.378956E+08
10/31/2011 12:00:00 AM,174.36,190.53,168.88,184.63,1.444187E+08
11/30/2011 12:00:00 AM,181.55,189.97,177.06,188,9.70107E+07
12/31/2011 12:00:00 AM,187.01,194.9,179.04,183.88,1.034348E+08
1/31/2012 12:00:00 AM,186.73,193.1,177.35,192.6,1.100146E+08
2/29/2012 12:00:00 AM,193.21,199.23,190.83,196.73,7.88174E+07
3/31/2012 12:00:00 AM,197.23,209.12,196.81,208.65,8.80965E+07
4/30/2012 12:00:00 AM,208.96,210.69,196.79,207.08,8.64154E+07
5/31/2012 12:00:00 AM,207.18,208.93,192,192.9,8.59724E+07
6/30/2012 12:00:00 AM,190.12,199.99,187,195.58,8.45406E+07
7/31/2012 12:00:00 AM,196.36,197.84,181.85,195.98,9.1503E+07
8/31/2012 12:00:00 AM,196.96,202,193.02,194.85,6.06524E+07
9/30/2012 12:00:00 AM,196.61,208.32,193.25,207.45,7.7343E+07
10/23/2012 12:00:00 AM,208.01,211.79,190.94,191.25,7.90164E+07
