Date,Open,High,Low,Close,Volume 
10/31/2007 12:00:00 AM,48.2,51.28,44.57,49.46,2.17761E+07
11/30/2007 12:00:00 AM,50.2,55.56,46.48,53.97,2.0322E+07
12/31/2007 12:00:00 AM,54.4,56.75,52.61,54.3,1.61393E+07
1/31/2008 12:00:00 AM,54.3,57.19,45.53,47.5,3.33846E+07
2/29/2008 12:00:00 AM,45.57,50,42.73,47.21,2.73255E+07
3/31/2008 12:00:00 AM,46.48,47.48,39.91,40.07,2.34146E+07
4/30/2008 12:00:00 AM,41.07,46.39,39.52,45.79,1.82216E+07
5/31/2008 12:00:00 AM,46.02,50.81,44.55,50.39,1.73624E+07
6/30/2008 12:00:00 AM,51.77,52.36,43.11,43.74,2.11532E+07
7/31/2008 12:00:00 AM,43,43.65,37.2,37.67,2.19248E+07
8/31/2008 12:00:00 AM,37.8,40.15,36.9,38.2,1.25051E+07
9/30/2008 12:00:00 AM,37.53,38.52,29.71,30.87,2.26203E+07
10/31/2008 12:00:00 AM,30.4,30.64,19.12,23.24,5.5176E+07
11/30/2008 12:00:00 AM,23.37,25.5,18.14,19.38,3.1377E+07
12/31/2008 12:00:00 AM,19.07,21.89,18.09,21.87,3.21579E+07
1/31/2009 12:00:00 AM,21.8,24.32,18.82,19.22,4.34339E+07
2/28/2009 12:00:00 AM,19.22,21.14,15.64,16.56,3.86246E+07
3/31/2009 12:00:00 AM,16.86,22.97,16.22,20.63,4.9495E+07
4/30/2009 12:00:00 AM,21.5,26.94,21.27,25.86,3.83525E+07
5/31/2009 12:00:00 AM,26.01,28.09,25.27,26.23,2.71573E+07
6/30/2009 12:00:00 AM,26.92,28.22,25.19,25.86,2.0269E+07
7/31/2009 12:00:00 AM,25.97,28.21,23.6,27.96,2.45156E+07
8/31/2009 12:00:00 AM,28.25,29,26.06,26.74,1.82396E+07
9/30/2009 12:00:00 AM,26.6,30.15,25.98,29.2,1.96753E+07
10/31/2009 12:00:00 AM,28.7,30.82,26.63,29.39,2.68436E+07
11/30/2009 12:00:00 AM,29,29.51,26.25,26.69,1.74768E+07
12/31/2009 12:00:00 AM,27.1,29.58,26.76,29,1.40903E+07
1/31/2010 12:00:00 AM,29.52,34.99,29.5,33.23,2.01297E+07
2/28/2010 12:00:00 AM,34,35.59,32.94,34.11,1.83773E+07
3/31/2010 12:00:00 AM,34.4,40.45,34.4,38.32,2.10456E+07
4/30/2010 12:00:00 AM,38.49,38.67,34.16,34.22,1.85022E+07
5/31/2010 12:00:00 AM,34.29,34.7,29.85,30.78,3.10497E+07
6/30/2010 12:00:00 AM,30.44,30.95,26.58,26.68,3.1985E+07
7/31/2010 12:00:00 AM,26.16,32.09,25.85,31.22,2.96897E+07
8/31/2010 12:00:00 AM,32.04,32.19,27.86,27.99,1.8803E+07
9/30/2010 12:00:00 AM,28.39,31.63,28.34,30.92,1.66331E+07
10/31/2010 12:00:00 AM,30.67,34.26,30.23,33.84,1.90094E+07
11/30/2010 12:00:00 AM,32.96,35.66,32.37,35.48,1.92257E+07
12/31/2010 12:00:00 AM,36.24,36.88,35.07,35.71,1.37434E+07
1/31/2011 12:00:00 AM,36.17,36.49,34.06,34.34,1.55049E+07
2/28/2011 12:00:00 AM,34.61,36.97,34.49,36.84,1.63564E+07
3/31/2011 12:00:00 AM,36.72,36.81,28.94,31.83,3.09625E+07
4/30/2011 12:00:00 AM,31.82,32.09,27.85,28.31,2.4984E+07
5/31/2011 12:00:00 AM,28.69,29.1,25.9,26.74,2.32947E+07
6/30/2011 12:00:00 AM,26.86,26.86,24.21,26.39,2.24182E+07
7/31/2011 12:00:00 AM,26.42,27.32,24.93,25.1,1.67999E+07
8/31/2011 12:00:00 AM,25.33,25.56,20.14,21.95,3.85996E+07
9/30/2011 12:00:00 AM,22.07,22.22,18.39,19,2.2183E+07
10/31/2011 12:00:00 AM,18.81,22.49,18.1,20.97,2.74715E+07
11/30/2011 12:00:00 AM,19.8,20.1,16.16,18.05,3.17301E+07
12/31/2011 12:00:00 AM,17.98,18.61,16.67,18.04,2.54811E+07
1/31/2012 12:00:00 AM,18.28,18.75,16.75,18.22,2.07235E+07
2/29/2012 12:00:00 AM,18.06,22.35,16.85,21.39,3.49081E+07
3/31/2012 12:00:00 AM,21.49,22.05,20.01,20.77,3.00255E+07
4/30/2012 12:00:00 AM,20.56,20.83,16.11,16.21,4.0543E+07
5/31/2012 12:00:00 AM,15.85,16.07,12.97,13.24,4.4579E+07
6/30/2012 12:00:00 AM,12.75,14.47,12.63,14.24,3.45601E+07
7/31/2012 12:00:00 AM,14.18,14.31,11.2,12.15,2.924E+07
8/31/2012 12:00:00 AM,12.11,12.4,10.91,11.31,4.03701E+07
9/30/2012 12:00:00 AM,11.33,13.6,11.02,11.7,4.59978E+07
10/23/2012 12:00:00 AM,11.86,12.4,11.3,12.09,2.35337E+07
